date,close
2024-01-10,164.89
2024-01-11,163.78
2024-01-12,162.4
2024-01-16,161.48
2024-01-17,162.04
2024-01-18,163.3
2024-01-19,164.77
2024-01-22,165.39
2024-01-23,167.5
2024-01-24,164.22
2024-01-25,165.13
2024-01-26,164.4
2024-01-29,163.91
2024-01-30,164.92
2024-01-31,164.4
2024-02-01,167.59
2024-02-02,168.67
2024-02-05,171.26
2024-02-06,173.29
2024-02-07,175.01
2024-02-08,174.79
2024-02-09,174.08
2024-02-12,173.07
2024-02-13,173.29
2024-02-14,174.42
2024-02-15,176.59
2024-02-16,177.49
2024-02-20,175.75
2024-02-21,175.14
2024-02-22,176.75
2024-02-23,178.09
2024-02-26,178.81
2024-02-27,178.99
2024-02-28,178.0
2024-02-29,176.05
2024-03-01,178.91
2024-03-04,177.05
2024-03-05,179.16
2024-03-06,181.06
2024-03-07,180.57
2024-03-08,178.85
2024-03-11,179.63
2024-03-12,180.92
2024-03-13,179.86
2024-03-14,181.2
2024-03-15,177.88
2024-03-18,178.49
2024-03-19,179.66
2024-03-20,176.27
2024-03-21,177.5
2024-03-22,178.45
2024-03-25,178.53
2024-03-26,179.19
2024-03-27,180.35
2024-03-28,182.1
2024-04-01,180.76
2024-04-02,180.69
2024-04-03,177.33
2024-04-04,167.9
2024-04-05,170.0
2024-04-08,169.8
2024-04-09,170.14
2024-04-10,169.03
2024-04-11,167.52
2024-04-12,162.28
2024-04-15,161.67
2024-04-16,162.54
2024-04-17,164.25
2024-04-18,164.66
2024-04-19,166.41
2024-04-22,167.89
2024-04-23,169.54
2024-04-24,167.8
2024-04-25,167.29
2024-04-26,159.62
2024-04-29,161.52
2024-04-30,162.64
2024-05-01,161.72
2024-05-02,160.81
2024-05-03,163.79
2024-05-06,162.73
2024-05-07,162.55
2024-05-08,160.45
2024-05-09,160.4
2024-05-10,160.75
2024-05-13,161.28
2024-05-14,161.59
2024-05-15,163.79
2024-05-16,164.35
2024-05-17,166.42
2024-05-20,164.56
2024-05-21,162.93
2024-05-22,159.61
2024-05-23,158.26
2024-05-24,157.06
2024-05-28,155.34
2024-05-29,154.79
2024-05-30,156.31
2024-05-31,161.24
2024-06-03,160.19
2024-06-04,162.14
2024-06-05,165.44
2024-06-06,168.57
2024-06-07,169.42
2024-06-10,170.46
2024-06-11,167.7
2024-06-12,166.09
2024-06-13,166.56
2024-06-14,168.59
2024-06-17,169.68
2024-06-18,171.36
2024-06-20,172.13
2024-06-21,170.39
2024-06-24,172.74
2024-06-25,170.75
2024-06-26,171.15
2024-06-27,168.99
2024-06-28,171.52
2024-07-01,170.37
2024-07-02,165.96
2024-07-03,163.84
2024-07-05,167.25
2024-07-08,166.52
2024-07-09,168.05
2024-07-10,168.14
2024-07-11,169.91
2024-07-12,170.28
2024-07-15,168.03
2024-07-16,169.2
2024-07-17,175.27
2024-07-18,171.14
2024-07-19,172.32
2024-07-22,173.61
2024-07-23,173.15
2024-07-24,176.21
2024-07-25,182.17
2024-07-26,185.16
2024-07-29,181.94
2024-07-30,186.78
2024-07-31,185.32
2024-08-01,189.71
2024-08-02,189.29
2024-08-05,184.36
2024-08-06,185.71
2024-08-07,187.51
2024-08-08,190.4
2024-08-09,189.93
2024-08-12,190.18
2024-08-13,191.23
2024-08-14,193.0
2024-08-15,193.4
2024-08-16,193.9
2024-08-19,196.87
2024-08-20,196.15
2024-08-21,196.53
2024-08-22,196.37
2024-08-23,197.55
2024-08-26,197.44
2024-08-27,195.92
2024-08-28,195.4
2024-08-29,195.18
2024-08-30,196.31
2024-09-03,197.69
2024-09-04,197.01
2024-09-05,192.86
2024-09-06,193.4
2024-09-09,196.42
2024-09-10,199.35
2024-09-11,194.59
2024-09-12,194.02
2024-09-13,194.21
2024-09-16,195.73
2024-09-17,193.45
2024-09-18,192.94
2024-09-19,193.62
2024-09-20,193.47
2024-09-23,193.83
2024-09-24,193.51
2024-09-25,191.26
2024-09-26,191.9
2024-09-27,194.79
2024-09-30,197.48
2024-10-01,196.96
2024-10-02,196.82
2024-10-03,195.45
2024-10-04,194.29
2024-10-07,193.61
2024-10-08,193.01
2024-10-09,194.75
2024-10-10,194.35
2024-10-11,194.19
2024-10-14,195.65
2024-10-15,191.86
2024-10-16,190.46
2024-10-17,188.57
2024-10-18,188.86
2024-10-21,186.54
2024-10-22,188.76
2024-10-23,187.88
2024-10-24,189.65
2024-10-25,187.85
2024-10-28,189.68
2024-10-29,189.45
2024-10-30,201.5
2024-10-31,203.87
2024-11-01,203.55
2024-11-04,200.47
2024-11-05,201.68
2024-11-06,201.2
2024-11-07,200.51
