date,AAPL,ABBV,AMZN,AVGO,BRK.B,COST,GOOGL,HD,JNJ,JPM,LLY,MA,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2024-01-10,186.19,164.89,153.73,108.06,367.92,672.76,142.28,356.8,161.87,171.02,630.19,428.27,370.47,382.77,54.35,149.94,233.94,537.64,264.56,98.69
2024-01-11,185.59,163.78,155.18,110.0,363.34,673.58,142.08,356.53,161.15,170.3,635.72,426.72,369.67,384.63,54.82,150.51,227.22,539.68,264.03,98.67
2024-01-12,185.92,162.4,154.62,110.77,363.62,683.24,142.65,355.71,162.39,169.05,642.92,429.1,374.49,388.47,54.71,150.6,218.89,521.51,264.17,99.95
2024-01-16,183.63,161.48,153.16,111.5,361.1,681.49,142.49,358.43,160.52,167.99,634.57,428.35,367.46,390.27,56.38,149.79,219.91,519.15,265.24,97.69
2024-01-17,182.68,162.04,151.71,110.37,359.29,684.19,141.47,355.7,160.43,167.09,628.91,427.42,368.37,389.47,56.05,149.94,215.55,524.94,266.63,96.98
2024-01-18,188.63,163.3,153.5,114.39,362.38,687.31,143.48,357.9,161.21,167.42,623.35,430.72,376.13,393.87,57.11,148.14,211.88,516.34,268.14,96.8
2024-01-19,191.56,164.77,155.34,121.12,366.99,694.97,146.38,362.41,161.68,170.31,628.58,436.78,383.45,398.67,59.49,147.57,212.19,503.56,270.9,96.95
2024-01-22,193.89,165.39,154.78,122.05,368.06,692.51,145.99,356.69,162.47,170.11,630.88,439.75,381.78,396.51,59.65,147.86,208.8,512.99,271.2,96.82
2024-01-23,195.18,167.5,156.02,122.63,372.14,687.59,147.04,350.78,159.81,168.99,629.68,438.76,385.2,398.9,59.87,153.98,209.14,515.52,271.26,97.91
2024-01-24,194.5,164.22,156.87,125.39,376.59,686.51,148.7,347.27,158.96,170.5,633.7,438.7,390.7,402.56,61.36,152.12,207.83,513.23,271.65,99.6
2024-01-25,194.17,165.13,157.75,123.0,380.85,679.9,151.87,350.97,159.56,172.94,627.62,436.8,393.18,404.87,61.62,155.62,182.63,493.4,272.61,102.13
2024-01-26,192.42,164.4,159.12,120.49,385.4,686.88,152.19,355.3,159.5,172.28,639.25,438.53,394.14,403.93,61.03,156.14,183.25,503.2,267.94,103.0
2024-01-29,191.73,163.91,161.26,121.78,383.18,694.01,153.51,355.7,159.36,172.73,645.0,440.58,401.02,409.72,62.47,156.16,190.93,504.54,273.66,103.13
2024-01-30,188.04,164.92,159.0,120.82,387.15,700.74,151.46,357.1,158.77,176.27,644.98,445.19,400.06,408.59,62.77,157.49,191.59,503.61,277.15,104.85
2024-01-31,184.4,164.4,155.2,118.0,383.74,694.88,140.1,352.96,158.9,174.36,645.61,449.23,390.14,397.58,61.53,157.14,187.29,511.74,273.26,102.81
2024-02-01,186.86,167.59,159.28,120.0,386.44,704.48,141.16,360.07,158.36,173.73,660.43,460.92,394.78,403.78,63.03,159.18,188.86,507.14,277.05,102.39
2024-02-02,185.85,168.67,171.81,122.43,390.75,709.48,142.38,357.23,156.61,174.73,667.65,460.58,474.99,411.22,66.16,158.09,187.91,510.23,277.18,101.97
2024-02-05,187.68,171.26,170.31,124.31,390.76,711.16,143.68,355.14,155.8,174.5,706.2,456.76,459.41,405.65,69.33,158.21,181.06,502.96,275.58,101.55
2024-02-06,189.3,173.29,169.15,122.27,393.74,710.79,144.1,356.25,158.06,175.1,705.03,460.5,454.72,405.49,68.22,158.96,185.1,510.67,276.76,102.25
2024-02-07,189.41,175.01,170.53,125.71,397.66,719.78,145.54,362.69,157.98,175.43,725.38,461.91,469.59,414.05,70.1,159.12,187.58,519.39,279.39,102.22
2024-02-08,188.32,174.79,169.84,127.48,397.49,724.16,145.91,363.72,156.4,174.8,735.68,458.26,470.0,414.11,69.64,158.64,189.56,520.09,275.78,103.97
2024-02-09,188.85,174.08,174.45,128.34,398.36,723.4,149.0,363.15,156.76,175.01,740.16,457.88,468.11,420.55,72.13,157.42,193.57,518.22,276.43,101.77
2024-02-12,187.15,173.07,172.34,126.5,397.71,722.41,147.53,365.45,157.85,175.79,737.26,458.71,468.9,415.26,72.25,157.11,188.13,517.64,275.07,103.17
2024-02-13,185.04,173.29,168.64,125.17,394.8,714.25,145.14,357.59,156.47,174.26,742.97,460.46,460.12,406.32,72.13,156.27,184.02,516.85,275.81,101.34
2024-02-14,184.15,174.42,170.98,126.22,398.68,722.18,145.94,358.23,155.74,176.03,757.31,465.19,473.28,409.49,73.9,155.63,188.71,516.94,277.56,100.84
2024-02-15,183.86,176.59,169.8,126.51,403.45,724.51,142.77,361.08,157.92,179.87,757.78,471.28,484.03,406.56,72.66,157.01,200.45,520.88,280.98,103.73
2024-02-16,182.31,177.49,169.51,124.55,405.99,723.99,140.52,362.35,156.55,179.03,782.06,468.13,473.32,404.06,72.61,157.51,199.95,521.55,278.56,103.73
2024-02-20,181.56,175.75,167.08,122.66,407.15,725.69,141.12,362.57,157.86,179.73,755.66,451.75,471.75,402.79,69.45,158.51,193.76,521.06,275.15,102.75
2024-02-21,182.32,175.14,168.59,122.75,409.25,723.02,142.55,364.13,158.68,180.9,745.91,459.05,468.03,402.18,67.47,160.4,194.77,521.97,276.76,104.85
2024-02-22,184.37,176.75,174.58,130.49,415.16,734.4,144.09,371.34,160.45,183.07,769.64,471.56,486.13,411.65,78.54,160.56,197.41,526.5,283.75,104.76
2024-02-23,182.52,178.09,174.99,129.64,417.22,737.93,143.96,371.96,161.84,183.99,769.54,473.42,484.03,410.34,78.82,161.03,191.97,527.24,283.6,103.84
2024-02-26,181.16,178.81,174.73,130.91,409.14,745.35,137.57,371.6,160.79,183.36,771.92,474.51,481.74,407.54,79.09,160.22,199.4,525.32,284.15,104.25
